"subject" "activity" "featDomain" "featAcceleration" "featInstrument" "featJerk" "featMagnitude" "featVariable" "featAxis" "count" "average"
"1" 1 "LAYING" "NA" "NA" "NA" "NA" "NA" "NA" "NA" 150 -0.148683566846667
"2" 1 "LAYING" "NA" "NA" "Gyroscope" "NA" "NA" "NA" "NA" 50 -0.001666984698
"3" 1 "LAYING" "NA" "NA" "Gyroscope" "Jerk" "NA" "NA" "NA" 50 0.08443716468
"4" 1 "LAYING" "NA" "Body" "Accelerometer" "NA" "NA" "NA" "NA" 50 0.0213659655642
"5" 1 "LAYING" "NA" "Body" "Accelerometer" "Jerk" "NA" "NA" "NA" 50 0.00306040735
"6" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "NA" "NA" 50 -0.8792918984
"7" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "NA" "X" 600 -0.2352229244015
"8" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "NA" "Y" 550 -0.294958203922727
"9" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "NA" "Z" 500 -0.2791111375224
"10" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 50 -0.016553093978
"11" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 50 -0.064486124088
"12" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 50 0.14868943626
"13" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "X" 50 -0.87354386782
"14" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 50 -0.9510904402
"15" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 50 -0.9082846626
"16" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "NA" "NA" 550 -0.480669731079382
"17" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 50 -0.874759548
"18" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 50 -0.81901016976
"19" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "NA" "NA" 50 -0.9647977016
